player,market_value_eur_m,tm_name,value_date,match_method
A. Thomasson,4.0,Adrien Thomasson,2018-01-23,short
J. Lea Siliki,1.5,James Léa Siliki,2018-01-23,short
Somália,2.0,Somália,2018-01-23,exact
M. Sanson,18.0,Morgan Sanson,2018-01-23,short
K. Azamoum,1.5,Karim Azamoum,2018-01-23,short
R. Krhin,1.5,Rene Krhin,2018-01-23,short
I. Sangaré,0.4,Ibrahim Sangaré,2018-05-15,short
A. Rabiot,45.0,Adrien Rabiot,2018-01-23,short
T. Lemar,65.0,Thomas Lemar,2018-01-23,short
Fabinho,40.0,Fabinho,2018-01-23,exact
F. Tait,0.7,Flavien Tait,2018-01-23,short
D. Liénard,2.0,Dimitri Liénard,2018-01-23,short
N. Benezet,2.0,Nicolas Benezet,2018-01-23,short
S. Sessègnon,1.0,Stéphane Sessègnon,2018-01-23,short
Luiz Gustavo,15.0,Luiz Gustavo,2018-01-23,exact
João Moutinho,10.0,João Moutinho,2018-01-23,exact
G. Poblete,,,,none
Andrei Girotto,2.0,Andrei Girotto,2018-01-23,exact
J. Draxler,40.0,Julian Draxler,2018-01-23,short
Y. Aït Bennasser,5.0,Youssef Aït Bennasser,2018-01-23,short
B. Zungu,3.5,Bongani Zungu,2018-01-23,short
Otávio,6.5,Otávio,2018-01-23,exact
M. Coco,3.0,Marcus Coco,2018-01-23,short
J. Repas,,,,none
L. Phiri,1.5,Lebogang Phiri,2018-01-23,short
L. Tousart,25.0,Lucas Tousart,2018-01-23,short
Rony Lopes,12.0,Rony Lopes,2018-01-23,exact
J. Iloki,1.25,Jules Iloki,2018-01-23,short
A. Touré,8.0,Almamy Touré,2018-01-23,short
S. Khaoui,5.0,Saîf-Eddine Khaoui,2018-01-23,short
C. Grenier,2.0,Clément Grenier,2018-01-23,short
T. Motta,1.0,Thiago Motta,2018-01-23,short
J. Pastore,18.0,Javier Pastore,2018-01-23,short
S. Darbion,0.5,Stéphane Darbion,2018-01-23,short
J. Seri,,,,none
S. Prcić,,,,none
M. Verratti,70.0,Marco Verratti,2018-01-23,short
T. Monconduit,3.0,Thomas Monconduit,2018-01-23,short
G. Mandjeck,1.0,Georges Mandjeck,2018-01-23,short
S. Meïté,,,,none
L. Blas,5.0,Ludovic Blas,2018-01-23,short
V. Bessat,0.75,Vincent Bessat,2018-01-23,short
B. Pelé,1.0,Bryan Pelé,2018-01-23,short
A. Fulgini,3.5,Angelo Fulgini,2018-01-23,short
J. Plašil,0.75,Jaroslav Plasil,2018-01-23,short
P. Capelle,1.0,Pierrick Capelle,2018-01-23,short
J. Féret,0.5,Julien Féret,2018-01-23,short
Y. M'Vila,7.0,Yann M'Vila,2018-01-23,short
V. Pajot,2.5,Vincent Pajot,2018-01-23,short
O. Selnæs,3.0,Ole Selnæs,2018-01-23,short
D. Payet,22.0,Dimitri Payet,2018-01-23,short
L. Lerager,4.5,Lukas Lerager,2018-01-23,short
P. Lees Melou,5.0,Pierre Lees-Melou,2018-01-23,short
S. Peeters,,,,none
B. Sarr,3.5,Bouna Sarr,2018-01-23,short
E. Skhiri,8.0,Ellyes Skhiri,2018-01-23,short
Y. Cahuzac,0.75,Yannick Cahuzac,2018-01-23,short
W. Khazri,10.0,Wahbi Khazri,2018-01-23,short
É. Didot,0.5,Étienne Didot,2018-01-23,short
F. Tabanou,,,,none
B. André,6.0,Benjamin André,2018-01-23,short
P. Lasne,2.5,Paul Lasne,2018-01-23,short
F. Sammaritano,1.0,Frédéric Sammaritano,2018-01-23,short
Á. di María,40.0,Ángel Di María,2018-01-23,short
B. Nivet,0.25,Benjamin Nivet,2018-01-23,short
M. Diallo,0.2,Moussa Diallo,2018-05-15,short
G. Imbula,8.0,Giannelli Imbula,2018-01-23,short
N. Mendy,8.0,Nampalys Mendy,2018-01-23,short
R. Cabella,5.0,Rémy Cabella,2018-01-23,short
A. Blin,8.0,Alexis Blin,2018-01-23,short
Xeka,5.5,Xeka,2018-01-23,exact
J. Martin,3.0,Jonas Martin,2018-01-23,short
N. Fekir,50.0,Nabil Fekir,2018-01-23,short
R. Ghezzal,8.0,Rachid Ghezzal,2018-01-23,short
N. Sliti,,,,none
J. Toulalan,0.0,Jérémy Toulalan,2018-01-17,short
T. Mangani,3.5,Thomas Mangani,2018-01-23,short
M. Lopez,8.0,Maxime Lopez,2018-01-23,short
R. Walter,3.0,Rémi Walter,2018-01-23,short
A. Tameze,2.0,Adrien Tamèze,2018-01-23,short
T. Dingomé,1.0,Tristan Dingomé,2018-01-23,short
I. Amadou,2.5,Ibrahim Amadou,2018-01-23,short
I. Sarr,14.0,Ismaïla Sarr,2018-01-23,short
B. Bourigeaud,8.0,Benjamin Bourigeaud,2018-01-23,short
W. Cyprien,10.0,Wylan Cyprien,2018-01-23,short
Y. Tielemans,25.0,Youri Tielemans,2018-01-23,short
J. Durmaz,2.0,Jimmy Durmaz,2018-01-23,short
A. Gonçalves,0.5,Anthony Gonçalves,2018-01-23,short
R. Amalfitano,1.0,Romain Amalfitano,2018-01-23,short
L. Deaux,2.5,Lucas Deaux,2018-01-23,short
Thiago Maia,9.0,Thiago Maia,2018-01-23,exact
J. Marié,1.25,Jordan Marié,2018-01-23,short
F. Mollet,1.25,Florent Mollet,2018-01-23,short
H. Aouar,25.0,Houssem Aouar,2018-01-23,short
A. Hunou,3.5,Adrien Hunou,2018-01-23,short
B. Corgnet,1.0,Benjamin Corgnet,2018-01-23,short
G. Kakuta,2.0,Gaël Kakuta,2018-01-23,short
Y. Sankharé,5.0,Younousse Sankharé,2018-01-23,short
T. Ndombèlé,15.0,Tanguy Ndombélé,2018-01-23,short
M. Abeid,,,,none
A. Zambo Anguissa,,,,none
H. Manzala,1.5,Harrison Manzala,2018-01-23,short
J. Aholou,3.0,Jean-Eudes Aholou,2018-01-23,short
R. Cohade,,,,none
Y. Bissouma,4.0,Yves Bissouma,2018-01-23,short
G. Lo Celso,20.0,Giovani Lo Celso,2018-01-23,short
M. Dossevi,3.5,Mathieu Dossevi,2018-01-23,short
J. Sambia,1.25,Junior Sambia,2018-01-23,short
V. Rongier,7.5,Valentin Rongier,2018-01-23,short
B. Santamaria,3.0,Baptiste Santamaria,2018-01-23,short
P. Oniangué,1.5,Prince Oniangué,2018-01-23,short
Y. Salibur,5.0,Yannis Salibur,2018-01-23,short
